Vehicle Class Month Wise Data  For All State (2025),,,,,,,,,,
S No,                      Vehicle Class                       ,Month Wise ,,,,,,,,     TOTAL     
,,,,,,,,,,
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,
1,ADAPTED VEHICLE,"1,968","2,892","6,551","1,995","1,875","1,111","1,276",510,"18,178"
2,AGRICULTURAL TRACTOR,"86,934","59,583","66,868","55,255","65,373","70,458","81,106","37,780","5,23,357"
3,AMBULANCE,"1,172","1,054","2,082","2,362","1,298","1,240","1,494",571,"11,273"
4,ANIMAL AMBULANCE,6,7,9,5,6,15,8,3,59
5,ARMOURED/SPECIALISED VEHICLE,9,3,4,8,5,6,9,0,44
6,ARTICULATED VEHICLE,"2,801","2,616","3,440","3,813","2,522","2,209","2,282",999,"20,682"
7,AUXILIARY TRAILER,1,1,1,1,37,142,50,33,266
8,BREAKDOWN VAN,5,3,6,4,2,3,2,1,26
9,BULLDOZER,0,3,2,0,0,0,0,0,5
10,BUS,"5,888","5,521","6,831","7,126","7,479","7,230","7,550","3,975","51,600"
11,CAMPER VAN / TRAILER,44,74,30,52,40,29,20,16,305
12,CAMPER VAN / TRAILER (PRIVATE USE),56,42,69,59,69,99,85,31,510
13,CASH VAN,20,35,93,41,62,43,29,17,340
14,CONSTRUCTION EQUIPMENT VEHICLE,"5,214","4,089","5,031","3,915","3,650","5,679","2,114","1,048","30,740"
15,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),883,739,815,753,752,956,429,196,"5,523"
16,CRANE MOUNTED VEHICLE,"1,027",730,"1,003",772,693,955,496,213,"5,889"
17,DUMPER,"1,169","1,083","1,019","1,065",831,636,655,229,"6,687"
18,EARTH MOVING EQUIPMENT,636,501,624,503,458,477,294,149,"3,642"
19,EDUCATIONAL INSTITUTION BUS,"1,137","1,207","1,933","2,950","3,343","4,437","4,099","1,624","20,730"
20,E-RICKSHAW(P),"38,825","32,351","36,087","39,521","40,632","35,364","39,790","15,682","2,78,252"
21,E-RICKSHAW WITH CART (G),"5,756","6,403","7,222","7,460","7,966","6,849","6,817","2,851","51,324"
22,EXCAVATOR (COMMERCIAL),3,2,4,8,6,12,5,6,46
23,EXCAVATOR (NT),866,708,720,514,391,507,180,117,"4,003"
24,FIRE FIGHTING VEHICLE,55,47,32,69,77,23,52,80,435
25,FIRE TENDERS,41,28,45,36,62,35,16,25,288
26,FORK LIFT,190,154,189,132,129,222,80,36,"1,132"
